M,,m,,dim,,aug,,sus4,,sus2,,7,,m7,,M7,,m7b5,,7b5,,7sus4,,add9,,madd9,,mM7,,dim7,,6,,m6,,69,,m69,,7(b9),,7(9),,7(#9),,7(#11),,7(b13),,7(13),,m7(9),,m7(11),,M7(9),,mM7(9),,M7b5,,dim M7,,aug 7,,aug M7,,b5,,5,,8,
1,67,1,67,1,66,1,68,1,67,1,67,1,67,1,67,1,67,1,66,1,66,1,67,1,67,1,67,1,67,1,66,1,67,1,67,1,67,1,67,1,67,1,67,1,67,1,67,1,67,1,67,1,67,1,67,1,67,1,67,1,66,1,66,1,68,1,68,1,66,1,67,1,67
1,68,1,69,1,68,1,69,1,68,1,68,1,68,1,69,1,68,1,69,1,68,1,68,1,68,1,69,1,69,1,68,1,68,1,68,1,68,1,68,1,68,1,68,1,68,1,68,1,68,1,68,1,69,1,69,1,68,1,69,1,68,1,68,1,69,1,69,1,68,1,68,1,68
1,69,1,70,1,69,1,70,1,69,1,69,1,69,1,69,1,69,1,70,1,69,1,69,1,69,1,69,1,69,1,69,1,69,1,69,1,69,1,69,1,69,1,69,1,69,1,69,1,68,1,69,1,69,1,69,1,69,1,69,1,69,1,69,1,70,1,69,1,69,1,69,1,69
1,72,1,72,1,72,1,72,1,72,1,72,1,70,1,70,1,71,1,70,1,70,1,70,1,72,1,72,1,71,1,72,1,72,1,72,1,72,1,72,1,70,1,70,1,70,1,70,1,70,1,70,1,70,1,70,1,71,1,71,1,71,1,71,1,70,1,71,1,70,1,72,1,72
1,72,1,72,1,71,1,72,1,72,1,72,1,71,1,71,1,71,1,71,1,71,1,71,1,72,1,72,1,71,1,72,1,72,1,72,1,72,1,72,1,71,1,71,1,71,1,71,1,71,1,71,1,71,1,71,1,71,1,71,1,71,1,71,1,71,1,71,1,72,1,72,1,72
1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72,1,72
2,60,2,60,2,60,2,60,2,60,2,60,2,58,2,58,2,59,2,58,2,58,2,58,2,62,2,62,2,59,2,57,2,57,2,57,2,62,2,62,2,61,2,62,2,63,2,58,2,58,2,58,2,62,2,58,2,62,2,62,2,59,2,59,2,58,2,59,2,60,2,60,2,60
2,61,2,62,2,62,2,62,2,64,2,61,2,61,2,62,2,61,2,62,2,62,2,64,2,61,2,61,2,62,2,62,2,61,2,62,2,61,2,61,2,61,2,61,2,61,2,61,2,61,2,61,2,62,2,62,2,61,2,62,2,62,2,62,2,62,2,62,2,62,2,61,2,61
2,62,2,63,2,63,2,64,2,65,2,62,2,62,2,63,2,62,2,63,2,64,2,65,2,62,2,62,2,63,2,63,2,62,2,63,2,62,2,62,2,61,2,62,2,63,2,62,2,62,2,62,2,62,2,63,2,62,2,62,2,64,2,63,2,64,2,64,2,64,2,62,2,62
2,63,2,62,2,62,2,63,2,64,2,61,2,63,2,62,2,63,2,62,2,63,2,64,2,63,2,62,2,62,2,62,2,63,2,62,2,63,2,62,2,63,2,63,2,63,2,63,2,63,2,63,2,62,2,62,2,63,2,62,2,63,2,62,2,63,2,63,2,63,2,63,2,63
